"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
40000,"Константина Заслонова, 11",Санкт-Петербург,816,49,Универсальное помещение,https://spb.n1.ru/view/109008553/?open_card_kn
125000,"Марата, 36",Санкт-Петербург,1000,125,Универсальное помещение,https://spb.n1.ru/view/109008552/?open_card_kn
222000,"Загребский бульвар, 33",Санкт-Петербург,1489,149,Универсальное помещение,https://spb.n1.ru/view/115265445/?open_card_kn
380000,"Энгельса проспект, 29",Санкт-Петербург,4578,83,Универсальное помещение,https://spb.n1.ru/view/116306303/?open_card_kn
200000,"Черной речки набережная, 47 ст1",Санкт-Петербург,3384,59,Универсальное помещение,https://spb.n1.ru/view/116306302/?open_card_kn
6635600,"Красногвардейский переулок, 23",Санкт-Петербург,1060,6260,Универсальное помещение,https://spb.n1.ru/view/116306219/?open_card_kn
232300,"Суздальское шоссе, 18 корп. 2",Санкт-Петербург,1880,123,Универсальное помещение,https://spb.n1.ru/view/116306217/?open_card_kn
250000,"Московский проспект, 204",Санкт-Петербург,3289,76,Универсальное помещение,https://spb.n1.ru/view/116306195/?open_card_kn
150880,"Первого Мая, 2 ст1",Санкт-Петербург,1600,94,Универсальное помещение,https://spb.n1.ru/view/116306110/?open_card_kn
100000,"Московское шоссе, 25 корп. 1",Санкт-Петербург,1000,100,Универсальное помещение,https://spb.n1.ru/view/115959320/?open_card_kn
390000,"Лиговский проспект, 173",Санкт-Петербург,4333,90,Универсальное помещение,https://spb.n1.ru/view/115959319/?open_card_kn
390000,"Светлановский проспект, 14 корп. 3",Санкт-Петербург,2280,171,Универсальное помещение,https://spb.n1.ru/view/115959318/?open_card_kn
80000,"шоссе Колпинское, 129",Санкт-Петербург,2500,32,Универсальное помещение,https://spb.n1.ru/view/113092276/?open_card_kn
150000,"шоссе Колпинское, 127",Санкт-Петербург,2142,70,Универсальное помещение,https://spb.n1.ru/view/113092275/?open_card_kn
147000,"Бабушкина, 7",Санкт-Петербург,1792,82,Универсальное помещение,https://spb.n1.ru/view/115605360/?open_card_kn
100800,,Санкт-Петербург,2000,50,Универсальное помещение,https://spb.n1.ru/view/115264936/?open_card_kn
48390,"Окуловская, 18",Санкт-Петербург,300,161,Универсальное помещение,https://spb.n1.ru/view/116303104/?open_card_kn
254000,"Савушкина, 9",Санкт-Петербург,3479,73,Универсальное помещение,https://spb.n1.ru/view/114532009/?open_card_kn
110000,"Маршала Блюхера проспект, 7 корп. 2",Санкт-Петербург,1271,86,Универсальное помещение,https://spb.n1.ru/view/115955201/?open_card_kn
72450,"Салова, 61",Санкт-Петербург,2337,31,Универсальное помещение,https://spb.n1.ru/view/115955198/?open_card_kn
100000,"Новаторов бульвар, 8",Санкт-Петербург,5000,20,Универсальное помещение,https://spb.n1.ru/view/114919359/?open_card_kn
380000,"Ветеранов проспект, 53/56ж",Санкт-Петербург,2533,150,Универсальное помещение,https://spb.n1.ru/view/115262019/?open_card_kn
1750000,"Зольная, 15",Санкт-Петербург,1695,1031,Универсальное помещение,https://spb.n1.ru/view/116299420/?open_card_kn
220000,"Малая Морская, 6",Санкт-Петербург,1964,112,Универсальное помещение,https://spb.n1.ru/view/111632289/?open_card_kn
40000,"Звенигородская, 4",Санкт-Петербург,1818,22,Универсальное помещение,https://spb.n1.ru/view/115949121/?open_card_kn
480000,"Невский проспект, 147",Санкт-Петербург,1563,307,Универсальное помещение,https://spb.n1.ru/view/116294603/?open_card_kn
360000,"Пугачева, 9",Санкт-Петербург,1132,318,Универсальное помещение,https://spb.n1.ru/view/113828571/?open_card_kn
140000,"Благодатная, 50",Санкт-Петербург,2333,60,Универсальное помещение,https://spb.n1.ru/view/113471165/?open_card_kn
70000,"Загородный проспект, 30",Санкт-Петербург,1076,65,Универсальное помещение,https://spb.n1.ru/view/115254767/?open_card_kn
85000,"Чапыгина, 6",Санкт-Петербург,1493,56,Универсальное помещение,https://spb.n1.ru/view/116293493/?open_card_kn
168750,"Малая Бухарестская, 12",Санкт-Петербург,1500,112,Универсальное помещение,https://spb.n1.ru/view/112284908/?open_card_kn
155000,"Московский проспект, 137",Санкт-Петербург,4505,34,Универсальное помещение,https://spb.n1.ru/view/111624935/?open_card_kn
1000000,"Восстания, 6",Санкт-Петербург,4184,239,Универсальное помещение,https://spb.n1.ru/view/111215242/?open_card_kn
630000,"Комендантский проспект, 17 корп. 1",Санкт-Петербург,4200,150,Универсальное помещение,https://spb.n1.ru/view/111215239/?open_card_kn
100000,"Рижский проспект, 50",Санкт-Петербург,1385,72,Универсальное помещение,https://spb.n1.ru/view/115947251/?open_card_kn
250000,"Подъездной переулок, 3",Санкт-Петербург,2016,124,Универсальное помещение,https://spb.n1.ru/view/115947249/?open_card_kn
880000,"12-я В.О. линия, 29/53",Санкт-Петербург,3591,245,Универсальное помещение,https://spb.n1.ru/view/115601993/?open_card_kn
250000,"Смольный проспект, 11",Санкт-Петербург,2500,100,Универсальное помещение,https://spb.n1.ru/view/115254410/?open_card_kn
